Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
21.34,0.1351,0.74,-0.0,-0.0,0.0953,-0.0958
37.11,0.1177,0.76,-0.0012,0.0,0.0743,-0.0903
37.32,0.1005,0.05,0.0,-0.0004,0.0535,-0.0855
37.63,0.0982,1.23,-0.0,-0.0004,0.0318,-0.0933
37.93,0.0967,1.12,0.0015,-0.0026,0.0096,-0.099
38.24,0.0977,1.23,0.0109,-0.0294,0.0204,-0.1266
38.59,0.1025,2.17,0.0146,-0.0828,0.0267,-0.1847
38.91,0.1313,0.83,0.0024,-0.1346,0.0165,-0.2651
39.27,0.1438,0.04,-0.0291,-0.1901,-0.0147,-0.3331
39.63,0.1298,0.56,-0.0843,-0.2437,-0.0679,-0.3725
39.98,0.0973,1.31,-0.1529,-0.2802,-0.1463,-0.3773
40.43,0.0976,2.55,-0.253,-0.3053,-0.2406,-0.4021
41.18,0.0879,2.81,-0.4339,-0.3092,-0.4367,-0.397
42.21,0.0771,2.51,-0.6921,-0.2811,-0.679,-0.3571
43.38,0.0693,2.35,-0.9425,-0.2781,-0.9317,-0.3466
44.26,0.0684,1.99,-1.143,-0.3204,-1.1249,-0.3864
45.38,0.0626,2.34,-1.4003,-0.4373,-1.3905,-0.499
46.75,0.046,3.31,-1.652,-0.6153,-1.626,-0.6533
48.2,0.0334,3.37,-1.9138,-0.8259,-1.884,-0.8409
49.54,0.0379,3.52,-2.1745,-1.0425,-2.1378,-1.0335
51.07,0.0507,2.25,-2.4284,-1.2567,-2.3831,-1.2339
52.42,0.0628,2.04,-2.6871,-1.4676,-2.6386,-1.4277
53.86,0.0697,2.15,-2.9469,-1.6805,-2.8937,-1.6354
55.32,0.1253,2.65,-3.2111,-1.8946,-3.1248,-1.8038
56.68,0.1469,3.19,-3.477,-2.0984,-3.3859,-1.9832
58.06,0.1369,2.76,-3.7338,-2.254,-3.6471,-2.148
59.25,0.1382,2.83,-3.9916,-2.3585,-3.9243,-2.2378
60.39,0.1403,2.98,-4.2593,-2.4552,-4.2153,-2.3219
61.68,0.1029,2.2,-4.5199,-2.5421,-4.4935,-2.4427
62.87,0.0585,0.55,-4.7883,-2.6127,-4.7601,-2.5614
64.02,0.0408,0.0,-5.0721,-2.6606,-5.0352,-2.6431
65.18,0.0285,1.52,-5.3157,-2.6682,-5.3029,-2.6428
66.28,0.0257,0.21,-5.5678,-2.6769,-5.5425,-2.6722
67.29,0.0318,0.15,-5.8188,-2.7087,-5.7887,-2.6985
68.57,0.0225,1.44,-6.0881,-2.7776,-6.0658,-2.7746
69.78,0.0412,1.01,-6.3585,-2.8537,-6.3202,-2.8386
70.9,0.0426,0.34,-6.6274,-2.929,-6.5934,-2.9033
72.17,0.0463,0.02,-6.8954,-3.0155,-6.8569,-2.9899
73.39,0.0511,0.65,-7.1598,-3.1116,-7.115,-3.0872
74.51,0.0424,1.45,-7.4226,-3.2058,-7.3802,-3.203
75.79,0.0378,1.29,-7.6881,-3.2892,-7.6523,-3.2771
77.0,0.0493,1.54,-7.9561,-3.3755,-7.9069,-3.373
78.11,0.041,0.04,-8.2215,-3.4694,-8.1866,-3.4479
79.15,0.055,0.49,-8.4165,-3.5655,-8.368,-3.5395
79.85,0.0593,0.64,-8.5322,-3.6562,-8.4795,-3.6291
80.61,0.0686,1.74,-8.6449,-3.7976,-8.5943,-3.7512
81.43,0.0614,1.37,-8.7352,-3.9796,-8.6885,-3.9397
82.53,0.0511,0.52,-8.803,-4.2234,-8.7638,-4.1907
83.22,0.0412,0.49,-8.8085,-4.3772,-8.7811,-4.3464
84.42,0.0306,0.71,-8.7594,-4.6507,-8.766,-4.6208
85.43,0.0519,0.73,-8.7046,-4.8113,-8.7434,-4.7768
85.88,0.0368,0.65,-8.7046,-4.8112,-8.736,-4.792
86.48,0.0329,0.49,-8.7046,-4.8112,-8.7363,-4.8023
87.28,0.0279,0.6,-8.7047,-4.8111,-8.732,-4.8053
