Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
87.48,0.1574,0.07,-0.0021,-0.0,0.0754,-0.137
106.1,0.1459,0.09,0.2567,0.0007,0.2771,-0.1439
107.13,0.1491,0.31,0.516,0.0013,0.5093,-0.1476
108.16,0.1628,0.85,0.771,0.002,0.7299,-0.1555
109.16,0.1654,1.3,1.019,0.0027,0.9822,-0.1586
110.39,0.1801,1.36,1.275,0.0037,1.2407,-0.1731
111.39,0.2025,1.57,1.5272,0.007,1.4827,-0.1906
112.39,0.1797,2.79,1.7753,0.0206,1.7331,-0.1541
113.39,0.1789,2.72,2.0288,0.0242,1.9825,-0.1485
114.42,0.2076,1.67,2.2856,0.0207,2.2457,-0.183
115.42,0.1982,2.87,2.5335,0.0184,2.5049,-0.1777
116.44,0.2141,2.43,2.7948,0.0161,2.7433,-0.1917
117.98,0.217,2.07,3.0452,0.0127,2.9883,-0.1966
119.79,0.2149,1.93,3.3071,0.005,3.2357,-0.1978
121.78,0.2164,0.78,3.5637,-0.0096,3.4849,-0.2112
124.41,0.2063,0.37,3.8194,-0.0244,3.7335,-0.212
126.65,0.1883,0.7,4.0765,-0.0441,3.999,-0.2158
128.65,0.1742,0.38,4.3333,-0.0793,4.2544,-0.2346
130.66,0.18,1.0,4.59,-0.1154,4.5026,-0.2728
132.7,0.1866,0.63,4.8453,-0.1639,4.7504,-0.3245
134.85,0.1565,0.09,5.1001,-0.2556,5.0206,-0.3905
137.23,0.1483,0.05,5.3579,-0.3742,5.2777,-0.4989
139.44,0.1192,1.33,5.6126,-0.4982,5.5434,-0.5952
141.53,0.102,0.71,5.8602,-0.5777,5.7941,-0.6552
143.62,0.1095,0.76,6.1175,-0.6286,6.0472,-0.7125
145.9,0.0684,0.9,6.3728,-0.6557,6.3286,-0.7078
148.01,0.0504,0.3,6.6264,-0.664,6.5856,-0.6936
150.08,0.0169,0.1,6.8812,-0.6729,6.8665,-0.6811
152.76,0.0115,0.52,7.1342,-0.6723,7.1446,-0.6672
153.84,0.0283,1.28,7.302,-0.6421,7.3241,-0.6598
154.71,0.0419,0.96,7.437,-0.5857,7.4788,-0.5828
155.68,0.026,0.25,7.5884,-0.4837,7.6141,-0.4794
156.83,0.0015,0.64,7.7212,-0.3458,7.7215,-0.3444
158.79,0.005,1.17,7.8892,-0.0954,7.8877,-0.1001
162.14,0.0163,0.35,8.01,0.1226,8.0222,0.1119
164.43,0.0432,0.28,8.0909,0.3884,8.0893,0.3453
166.34,0.0304,0.54,8.1879,0.6367,8.1871,0.6064
168.42,0.0232,0.4,8.3199,0.8925,8.3262,0.8702
170.54,0.025,0.49,8.4682,1.1489,8.477,1.1255
172.29,0.0108,1.36,8.6061,1.3322,8.6007,1.3229
173.91,0.025,0.82,8.7137,1.424,8.7368,1.4144
175.28,0.0192,0.4,8.7177,1.4267,8.7365,1.4306
