Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
19.9,0.1436,0.75,0.0,0.0,0.1112,-0.0909
39.33,0.1252,0.04,0.2697,0.0077,0.3495,-0.0887
42.11,0.1081,0.28,0.4549,0.0285,0.528,-0.0512
44.41,0.1164,1.39,0.5409,0.0475,0.5878,-0.059
44.91,0.135,0.9,0.5427,0.0488,0.5597,-0.0852
45.41,0.1791,1.26,0.5447,0.0509,0.567,-0.1268
45.9,0.2082,0.7,0.5507,0.064,0.5832,-0.1416
48.65,0.2569,1.62,0.6044,0.2781,0.6468,0.0247
49.17,0.27,0.04,0.6052,0.2792,0.6308,0.0104
49.65,0.262,0.41,0.6098,0.282,0.6286,0.0207
52.23,0.2868,1.42,0.8796,0.3874,0.9038,0.1017
55.92,0.2817,1.09,1.1032,0.4417,1.1082,0.16
57.72,0.2875,0.05,1.2072,0.4563,1.1671,0.1716
62.99,0.2849,0.22,1.4808,0.4136,1.4145,0.1365
64.98,0.2626,0.87,1.6014,0.3931,1.5316,0.14
65.46,0.2733,1.11,1.6215,0.4007,1.5428,0.139
69.93,0.2714,0.06,1.8508,0.4696,1.7823,0.207
72.75,0.2948,0.1,2.1017,0.5047,2.0172,0.2223
75.62,0.2702,0.44,2.3753,0.527,2.2733,0.2769
78.21,0.2808,0.64,2.6215,0.5068,2.4902,0.2586
80.59,0.2963,0.32,2.8774,0.4801,2.7317,0.2221
82.54,0.3059,1.06,3.1543,0.4616,2.9923,0.2022
85.26,0.3174,1.06,3.4007,0.4467,3.2282,0.1803
86.9,0.3348,0.29,3.6557,0.4542,3.4855,0.1659
88.5,0.3771,0.72,3.9083,0.4626,3.7196,0.1361
90.14,0.3865,1.12,4.1556,0.4758,3.9873,0.1278
92.13,0.3674,0.74,4.4321,0.4833,4.2856,0.1464
93.43,0.3842,0.12,4.5914,0.4651,4.4414,0.1114
93.76,0.3529,1.08,4.5914,0.4651,4.4387,0.1469
94.27,0.3033,2.05,4.5953,0.4616,4.4664,0.187
96.9,0.2685,2.51,4.7352,0.2877,4.6097,0.0503
99.6,0.2298,3.06,4.8883,0.0382,4.7848,-0.1669
101.41,0.1925,2.61,5.0139,-0.2085,4.9252,-0.3794
101.92,0.2011,2.28,5.0169,-0.2156,4.9299,-0.3969
102.46,0.1723,3.06,5.0176,-0.2253,4.9613,-0.3882
105.27,0.1447,1.99,4.9819,-0.4918,4.9548,-0.6339
107.22,0.1247,2.06,4.9608,-0.5982,4.9564,-0.7229
107.74,0.1202,2.6,4.9426,-0.6174,4.9419,-0.7376
108.73,0.1042,0.08,4.9371,-0.6225,4.9357,-0.7267
109.2,0.1007,0.56,4.9371,-0.6225,4.9577,-0.7211
110.01,0.1057,0.39,4.9362,-0.6282,4.993,-0.7173
110.65,0.0952,1.05,4.9365,-0.6324,4.9971,-0.7059
112.76,0.1227,0.26,4.937,-0.6344,5.0033,-0.7376
113.28,0.12,1.19,4.937,-0.6344,5.0177,-0.7231
113.76,0.1279,1.67,4.9372,-0.6345,5.0315,-0.721
116.78,0.1185,0.93,5.2005,-0.8221,5.2821,-0.9081
118.42,0.1053,3.51,5.3169,-0.8936,5.3767,-0.9802
118.91,0.0921,1.98,5.3193,-0.8936,5.3681,-0.9717
120.87,0.0785,0.06,5.5905,-0.891,5.6202,-0.9637
122.64,0.0795,0.11,5.8563,-0.8999,5.899,-0.967
125.25,0.0753,0.77,6.1347,-0.9153,6.171,-0.9812
127.71,0.059,1.22,6.374,-0.9404,6.4057,-0.9902
128.22,0.0417,1.63,6.3741,-0.9403,6.3928,-0.9776
129.74,0.0723,1.67,6.3895,-0.934,6.447,-0.9778
132.68,0.0567,2.65,6.6266,-0.8775,6.6757,-0.9058
133.83,0.0171,3.82,6.6616,-0.8615,6.6744,-0.8728
134.32,0.0205,4.03,6.6615,-0.8615,6.6637,-0.8819
135.99,0.0224,2.61,6.6683,-0.8498,6.6676,-0.8722
136.79,0.0139,2.51,6.6725,-0.8377,6.6704,-0.8515
137.27,0.0147,2.6,6.6727,-0.8303,6.6809,-0.8425
137.75,0.0292,2.66,6.6694,-0.8151,6.6984,-0.8181
138.25,0.0532,3.66,6.6579,-0.7938,6.7103,-0.7848
138.75,0.0744,2.98,6.6294,-0.7641,6.7024,-0.7782
139.22,0.0818,2.52,6.6185,-0.7582,6.6854,-0.8053
139.7,0.1087,2.78,6.6092,-0.7556,6.6729,-0.8437
140.85,0.1416,4.48,6.6011,-0.7548,6.6834,-0.87
141.2,0.1537,3.81,6.5941,-0.7515,6.7017,-0.8613
141.55,0.1626,2.98,6.5922,-0.75,6.7193,-0.8513
141.87,0.1713,1.94,6.5907,-0.748,6.7444,-0.8235
142.37,0.1743,1.81,6.5847,-0.7364,6.7516,-0.7866
142.86,0.168,0.41,6.5806,-0.7051,6.7439,-0.7444
143.36,0.175,0.59,6.5827,-0.6759,6.7501,-0.7273
143.83,0.1677,1.33,6.5909,-0.6494,6.7481,-0.7078
144.48,0.1527,0.97,6.6176,-0.6163,6.757,-0.6785
144.95,0.1594,0.63,6.6309,-0.6014,6.7707,-0.6781
145.34,0.1762,1.35,6.6309,-0.6014,6.787,-0.6833
145.66,0.1765,0.68,6.6315,-0.6012,6.786,-0.6867
146.87,0.1604,0.35,6.663,-0.5893,6.8084,-0.6572
150.42,0.15,0.51,6.8773,-0.5029,7.0207,-0.547
150.97,0.1321,0.39,6.8859,-0.4915,7.0111,-0.5338
152.98,0.1359,0.34,6.8997,-0.4727,7.0297,-0.5121
