Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
15.89,0.1938,0.67,0.0,0.0,0.1129,-0.1575
121.8,8.9937,69.98,-8.1527,-2.9706,0.3242,0.0343
130.54,9.0059,73.78,-8.1527,-2.9706,0.3874,-0.1118
130.77,9.1025,56.6,-8.1527,-2.9706,0.5892,-0.4339
131.01,8.7943,64.46,-8.1527,-2.9706,0.2463,-0.3634
131.25,8.9344,63.22,-8.1527,-2.9706,0.4485,-0.5533
131.48,9.0839,64.49,-8.1527,-2.9706,0.5813,-0.4736
131.71,9.0479,56.87,-8.1527,-2.9706,0.6046,-0.696
131.94,7.6525,130.49,-8.1527,-2.9706,-0.5388,-3.7382
132.17,7.4727,123.76,-8.1527,-2.9706,-0.7573,-4.0426
132.41,7.5888,120.11,-8.1527,-2.9706,-0.6125,-3.8283
132.64,7.4998,101.59,-8.1527,-2.9706,-0.695,-3.7642
132.87,7.3583,118.31,-8.1527,-2.9706,-0.8546,-3.9104
133.1,7.2479,107.97,-8.1527,-2.9706,-0.9817,-4.0239
133.33,7.2427,108.46,-8.1527,-2.9706,-0.9862,-4.0185
133.57,7.1526,102.52,-8.1527,-2.9706,-1.0909,-4.1068
133.8,7.2284,106.54,-8.1527,-2.9706,-1.0211,-4.1497
134.02,7.2256,106.23,-8.1527,-2.9706,-1.0371,-4.2267
134.26,7.2025,104.19,-8.1527,-2.9706,-1.0612,-4.2305
134.49,7.2108,103.73,-8.1527,-2.9706,-1.0546,-4.2407
134.73,7.221,104.66,-8.1527,-2.9706,-1.0402,-4.2176
134.96,7.2266,106.81,-8.1527,-2.9706,-1.0378,-4.2366
135.19,7.3691,115.8,-8.1527,-2.9706,-0.8826,-4.1747
135.42,7.3144,112.9,-8.1527,-2.9705,-0.9346,-4.1539
135.66,7.3141,114.43,-8.1527,-2.9705,-0.9306,-4.1266
135.89,7.2395,112.87,-8.1527,-2.9705,-1.0144,-4.1768
136.12,7.17,106.73,-8.1527,-2.9705,-1.0945,-4.2317
136.35,7.1387,103.63,-8.1527,-2.9705,-1.1214,-4.2039
136.58,7.1344,98.57,-8.1528,-2.9705,-1.1261,-4.2056
136.81,16.3832,176.65,-8.1528,-2.9705,8.1992,-1.9592
137.04,16.3861,174.72,-8.1528,-2.9705,8.2071,-2.0436
137.28,16.3893,176.73,-8.1528,-2.9705,8.2173,-2.1783
137.51,16.3816,178.05,-8.1528,-2.9705,8.2156,-2.3139
137.75,16.3859,179.49,-8.1528,-2.9705,8.226,-2.4894
137.98,16.3955,178.22,-8.1528,-2.9705,8.2347,-2.4628
