Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
10.75,0.1765,0.07,0.0,0.0,0.1386,-0.1092
24.12,0.156,0.45,0.2214,0.0119,0.3079,-0.118
25.04,0.158,0.27,0.4464,0.0902,0.4997,-0.0585
26.18,0.1691,1.0,0.7012,0.2255,0.7482,0.063
26.77,0.1695,0.52,0.8324,0.2999,0.8725,0.1352
27.08,0.1452,0.54,0.9065,0.3158,0.9215,0.1714
27.41,0.1399,0.03,0.9875,0.3166,1.0037,0.1777
28.15,0.1294,0.59,1.1679,0.2831,1.1695,0.1537
29.21,0.1169,0.65,1.4222,0.2075,1.4095,0.0913
30.24,0.113,0.08,1.6768,0.1548,1.6511,0.0448
31.48,0.1364,0.45,1.9336,0.1232,1.9052,-0.0103
32.51,0.1488,0.41,2.1897,0.108,2.142,-0.033
33.51,0.1603,0.04,2.4374,0.0954,2.3852,-0.0562
34.51,0.1785,1.31,2.6865,0.0732,2.64,-0.0991
35.54,0.1875,0.33,2.9487,0.0561,2.8873,-0.1211
36.54,0.2092,1.43,3.1965,0.0528,3.1228,-0.143
37.53,0.2118,1.66,3.4497,0.0516,3.3561,-0.1384
38.53,0.1931,2.4,3.6978,0.0391,3.5882,-0.1198
40.0,0.1781,2.03,3.9546,0.0108,3.8645,-0.1428
60.96,10.1151,22.28,-6.7369,-0.1592,3.3701,-0.5641
61.04,16.5274,47.9,-6.7369,-0.1592,9.4269,-3.6068
65.07,16.5477,53.08,-6.7369,-0.1592,9.4611,-3.5431
65.94,5.8836,72.56,-6.7369,-0.1592,-1.2629,1.9977
66.39,14.6625,107.5,-6.7369,-0.1592,7.8917,-1.1566
66.85,14.6648,108.34,-6.7369,-0.1592,7.8934,-1.1643
67.3,14.6764,110.17,-6.7369,-0.1592,7.9067,-1.1399
67.75,1.0517,97.68,-6.7369,-0.1592,-7.5978,0.4449
68.2,0.776,1.9,-6.7369,-0.1592,-5.9626,-0.2118
80.28,0.753,2.79,-6.7258,-0.1305,-5.9751,-0.1896
80.73,0.7352,2.88,-6.696,-0.0857,-5.9634,-0.1466
81.19,0.754,2.46,-6.6564,-0.0472,-5.9043,-0.0999
81.72,0.6938,4.47,-6.5954,-0.0098,-5.9049,-0.0776
82.43,0.6816,4.21,-6.5078,0.0203,-5.8297,-0.0486
85.29,0.6217,3.47,-6.2556,0.0745,-5.6375,0.0082
87.23,0.5954,2.88,-6.0032,0.0828,-5.4107,0.0242
88.48,0.546,5.29,-5.8497,0.075,-5.3043,0.0513
89.27,0.4919,2.13,-5.764,0.0421,-5.2728,0.0169
90.56,0.4471,1.59,-5.5125,-0.0576,-5.0658,-0.078
91.65,0.382,2.09,-5.2547,-0.1246,-4.8727,-0.1294
92.69,0.3246,0.78,-4.9999,-0.1547,-4.6755,-0.1653
97.62,0.3377,3.6,-5.162,-0.3083,-4.8244,-0.3016
97.98,0.3126,2.96,-5.0777,-0.3484,-4.7657,-0.3298
99.19,0.2574,1.85,-4.8248,-0.5042,-4.5686,-0.4796
99.69,0.2247,3.42,-4.7076,-0.545,-4.4831,-0.5367
100.22,0.1795,2.01,-4.5762,-0.5598,-4.3971,-0.572
101.22,0.1383,2.55,-4.3224,-0.5495,-4.1936,-0.5998
102.22,0.1175,2.7,-4.0745,-0.5176,-3.9818,-0.5899
103.25,0.1025,2.56,-3.8183,-0.4814,-3.7777,-0.5754
104.78,0.1126,2.7,-3.5661,-0.454,-3.5484,-0.5652
106.92,0.1384,3.95,-3.3101,-0.4241,-3.2887,-0.5608
109.11,0.1787,5.14,-3.0553,-0.396,-3.0683,-0.5743
111.29,0.2172,6.1,-2.7967,-0.3518,-2.8184,-0.5679
113.52,0.2427,7.0,-2.5469,-0.3042,-2.5776,-0.545
115.79,0.3433,9.63,-2.2943,-0.2619,-2.3389,-0.6023
117.25,0.3586,11.28,-2.1361,-0.226,-2.174,-0.5826
119.65,0.4342,11.14,-1.8839,-0.0889,-1.93,-0.5206
122.01,0.5009,11.87,-1.6304,0.0356,-1.6869,-0.4621
124.12,0.5764,12.41,-1.3717,0.1609,-1.4283,-0.4128
