Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
35.68,0.0917,0.38,-0.0001,-0.0,0.0461,-0.0793
49.09,0.109,2.67,0.073,0.0078,0.0804,-0.1009
49.32,0.0936,2.41,0.1309,0.0291,0.1203,-0.0639
49.62,0.1107,1.54,0.1957,0.0698,0.1672,-0.0372
50.92,0.1255,0.05,0.4509,0.2767,0.407,0.1591
52.09,0.1169,1.16,0.7036,0.4324,0.6797,0.318
53.22,0.1382,1.58,0.9592,0.5596,0.9146,0.4289
54.32,0.1418,1.01,1.2101,0.6679,1.1594,0.5354
55.46,0.1657,1.34,1.47,0.7966,1.4222,0.6379
56.65,0.1755,1.4,1.7154,0.9631,1.6667,0.7945
57.86,0.1917,0.32,1.973,1.1369,1.9103,0.9558
58.97,0.1953,0.3,2.2284,1.2529,2.1666,1.0677
60.03,0.1847,0.21,2.4823,1.3412,2.3989,1.1764
61.06,0.1797,0.36,2.7307,1.4152,2.6491,1.2551
61.9,0.1588,0.88,2.9384,1.4562,2.8426,1.3295
62.66,0.1371,2.15,3.0818,1.456,2.996,1.3491
63.0,0.1131,2.73,3.1616,1.4355,3.0924,1.3461
64.26,0.0987,0.65,3.4193,1.3393,3.3534,1.2657
65.29,0.1091,0.85,3.6718,1.3054,3.6105,1.2152
66.33,0.1303,1.27,3.9261,1.2976,3.8684,1.1808
67.33,0.1448,1.26,4.1741,1.313,4.1255,1.1766
71.94,0.1637,2.23,4.4279,1.329,4.3817,1.1719
125.64,12.0752,22.07,-7.5519,-1.1323,4.1963,1.6592
125.72,10.1107,13.48,-7.5416,-1.1304,2.4107,0.6528
128.77,2.9397,39.35,-7.4112,-1.098,-4.4812,-0.8591
132.02,16.7314,44.3,-7.3984,-1.0927,8.9303,-4.741
132.45,5.8272,55.49,-7.3984,-1.0927,-3.329,3.0782
132.99,13.7196,173.83,-7.3984,-1.0927,5.7298,2.8918
133.48,5.816,54.7,-7.3984,-1.0927,-3.3491,3.0822
134.07,13.7744,178.68,-7.3984,-1.0927,5.7903,2.8814
134.53,16.73,58.72,-7.3984,-1.0927,8.9733,-4.5363
134.77,5.858,60.19,-7.3984,-1.0927,-3.1297,2.9192
143.95,5.8365,58.61,-7.399,-1.0931,-3.166,2.9252
144.18,5.8562,61.23,-7.399,-1.0931,-3.1202,2.9053
144.42,13.7268,168.52,-7.399,-1.0931,5.7623,2.8061
144.65,16.719,67.46,-7.399,-1.0932,9.0055,-4.3206
144.88,16.6949,69.26,-7.399,-1.0932,8.9978,-4.2339
145.11,16.6896,72.09,-7.399,-1.0933,9.0046,-4.17
145.35,16.679,75.82,-7.399,-1.0933,9.0058,-4.1053
