Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
10.38,0.2059,1.47,-0.0,-0.0,0.1546,-0.136
26.94,0.182,0.83,0.1013,0.0119,0.1846,-0.1499
28.15,0.1779,1.44,0.3684,0.1073,0.4253,-0.0612
29.07,0.167,1.19,0.5827,0.1693,0.6122,0.0048
30.22,0.1608,1.31,0.8342,0.1756,0.8598,0.0169
31.47,0.1475,1.07,1.1081,0.1596,1.0913,0.0131
32.61,0.1436,1.99,1.3814,0.1394,1.3595,-0.0025
33.86,0.1459,1.6,1.6602,0.1232,1.6141,-0.0152
34.99,0.1538,1.42,1.9108,0.1145,1.8621,-0.0313
36.02,0.1736,1.53,2.1614,0.1092,2.1049,-0.055
37.11,0.1616,1.78,2.4069,0.1055,2.3527,-0.0467
38.28,0.1256,2.77,2.658,0.0847,2.6033,-0.0283
39.45,0.1191,2.88,2.93,0.0018,2.8711,-0.1017
40.61,0.1236,1.81,3.1983,-0.0445,3.1341,-0.1502
41.79,0.1295,1.71,3.4533,-0.0662,3.3707,-0.166
42.86,0.1332,1.36,3.7055,-0.0802,3.603,-0.1653
43.9,0.1314,2.19,3.9577,-0.0984,3.8455,-0.1667
45.06,0.1095,2.98,4.2033,-0.1249,4.1026,-0.1679
46.17,0.1199,1.58,4.4537,-0.1641,4.3527,-0.2288
47.28,0.1215,0.9,4.7278,-0.2111,4.6288,-0.2815
48.44,0.1065,0.81,4.9778,-0.2627,4.8913,-0.3247
49.68,0.0842,1.42,5.2481,-0.3399,5.1824,-0.3926
50.81,0.0714,1.17,5.5052,-0.453,5.4431,-0.4881
52.07,0.0579,0.66,5.7634,-0.5497,5.7124,-0.5772
53.3,0.0431,1.11,6.0254,-0.6025,5.9841,-0.6147
54.43,0.0264,0.67,6.2958,-0.6303,6.2708,-0.6386
55.58,0.019,1.23,6.5479,-0.6447,6.5424,-0.6265
56.73,0.0436,0.75,6.7982,-0.658,6.7958,-0.6145
57.76,0.0557,0.3,7.0502,-0.6675,7.0444,-0.6121
58.85,0.0776,0.23,7.3057,-0.6409,7.3074,-0.5633
59.8,0.0641,0.8,7.497,-0.5857,7.505,-0.5221
60.36,0.0421,0.49,7.6031,-0.5236,7.6101,-0.4821
61.1,0.0301,0.84,7.7339,-0.4024,7.7389,-0.3727
62.15,0.0078,0.75,7.8821,-0.1862,7.8759,-0.1908
63.43,0.0107,0.47,8.0019,0.0559,8.0105,0.0496
64.62,0.0191,0.42,8.1296,0.3076,8.1471,0.3
65.86,0.0253,0.73,8.2813,0.5834,8.3025,0.5695
67.29,0.0051,0.79,8.4385,0.8432,8.4345,0.8463
68.15,0.0157,0.51,8.5645,0.9987,8.5616,0.9834
69.62,0.0085,0.17,8.7469,1.1499,8.7463,1.1414
70.57,0.017,0.45,8.7467,1.1498,8.7599,1.1389
