Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
19.46,0.0912,0.48,0.2607,0.0003,0.3016,-0.0812
23.99,0.0957,0.13,0.531,0.0007,0.5499,-0.0931
28.45,0.0976,0.44,0.7869,-0.0047,0.7816,-0.1021
33.24,0.1127,1.03,1.0562,-0.0147,1.0301,-0.1244
37.42,0.1148,0.82,1.3065,-0.0135,1.2785,-0.1249
42.29,0.117,1.44,1.5867,-0.0039,1.5302,-0.1064
47.21,0.1225,1.63,1.861,0.0054,1.7787,-0.0853
51.66,0.118,1.7,2.1063,0.0121,2.0245,-0.0729
56.39,0.1239,2.34,2.3814,0.0135,2.2858,-0.0653
60.87,0.1174,2.39,2.632,0.0084,2.5366,-0.0601
65.54,0.1157,2.87,2.9062,-0.0065,2.799,-0.0501
69.82,0.1084,3.52,3.1571,-0.0233,3.0528,-0.0526
74.8,0.1058,2.87,3.4308,-0.0461,3.327,-0.0666
79.43,0.1172,1.78,3.7049,-0.0665,3.5971,-0.1123
83.57,0.1172,1.5,3.9563,-0.0791,3.8502,-0.129
88.22,0.1215,0.65,4.2115,-0.0904,4.1047,-0.1485
92.52,0.1176,1.46,4.4594,-0.1164,4.3476,-0.1528
96.79,0.1062,0.82,4.71,-0.1722,4.6067,-0.1966
101.57,0.0966,1.35,4.9776,-0.2561,4.881,-0.2521
145.27,12.7068,39.38,-8.0109,-3.8527,3.9779,0.3583
151.18,13.3306,46.29,-8.01,-3.853,4.6575,0.2988
152.06,4.437,68.62,-8.01,-3.853,-8.2503,0.5775
152.95,4.4057,67.3,-8.01,-3.853,-8.2239,0.5475
153.96,4.4071,69.16,-8.01,-3.853,-8.192,0.5503
154.78,4.4224,69.87,-8.01,-3.853,-8.2049,0.5651
156.23,15.6073,135.43,-8.01,-3.853,7.5596,-2.7687
185.06,15.3964,141.15,-7.9283,-3.7321,7.4395,-2.7936
186.9,15.248,142.83,-7.8493,-3.6694,7.3774,-2.8644
188.24,15.1017,144.58,-7.7816,-3.6373,7.3017,-2.8924
190.5,14.8853,144.22,-7.6569,-3.611,7.2087,-2.8456
194.88,14.451,146.18,-7.4098,-3.5859,7.0174,-2.7582
199.34,14.0195,145.29,-7.1534,-3.5471,6.8417,-2.7192
203.88,13.614,145.03,-6.9007,-3.527,6.6843,-2.6369
208.21,13.2305,144.83,-6.65,-3.5525,6.5407,-2.5269
213.27,12.852,146.77,-6.3752,-3.634,6.4177,-2.4041
218.25,12.5099,146.97,-6.1289,-3.76,6.284,-2.2059
223.23,12.2292,146.02,-5.8717,-3.9328,6.2061,-2.0143
228.75,11.9334,146.67,-5.6044,-4.0959,6.1102,-1.8209
234.07,11.6291,146.92,-5.3359,-4.2321,6.0017,-1.6443
238.76,4.7641,3.23,-5.0795,-4.3435,-5.2848,0.4162
270.32,4.5273,10.25,-5.3335,-4.2407,-5.7262,0.2695
273.56,4.465,13.09,-5.258,-4.2577,-5.6633,0.1889
274.97,4.58,5.66,-5.1923,-4.259,-5.519,0.3093
278.13,4.8248,1.53,-5.007,-4.2628,-5.1055,0.5611
282.19,4.7685,2.1,-4.8092,-4.2988,-4.862,0.4694
283.11,4.7902,2.33,-4.7899,-4.3081,-4.8252,0.4819
284.04,1.6211,178.27,-4.7835,-4.3123,-4.6978,-2.6935
290.57,1.6461,179.81,-4.7725,-4.3277,-4.7254,-2.6823
291.95,1.7461,178.24,-4.7484,-4.3915,-4.7142,-2.6457
293.27,1.888,177.8,-4.7436,-4.4629,-4.8038,-2.5759
294.69,2.0301,179.53,-4.7591,-4.5311,-4.8104,-2.5017
296.12,2.1491,178.5,-4.7968,-4.5982,-4.792,-2.4492
297.4,2.2559,178.12,-4.8499,-4.6528,-4.7385,-2.3997
299.26,2.3785,177.8,-4.9342,-4.7098,-4.6632,-2.3468
302.55,2.5656,178.46,-5.0995,-4.7732,-4.5111,-2.276
307.63,2.8341,179.49,-5.3777,-4.8193,-4.2174,-2.2336
312.55,3.1212,179.82,-5.6519,-4.8415,-3.9688,-2.213
317.05,3.3919,179.02,-5.8979,-4.8546,-3.7579,-2.2229
322.21,15.2134,93.21,-6.1704,-4.8771,8.7457,-1.8841
326.87,15.2181,91.96,-6.1785,-4.8777,8.7401,-1.8737
328.54,15.2188,91.71,-6.1785,-4.8777,8.7413,-1.8756
329.46,15.2179,90.31,-6.1785,-4.8777,8.7421,-1.8845
330.96,15.2368,88.74,-6.1785,-4.8777,8.7542,-1.8482
332.26,15.2329,90.43,-6.1785,-4.8776,8.7464,-1.8302
333.69,15.2247,92.07,-6.1785,-4.8776,8.7385,-1.8322
335.69,15.2255,92.96,-6.1785,-4.8775,8.7461,-1.8655
337.04,15.2326,95.14,-6.1786,-4.8775,8.7557,-1.8775
338.45,15.2421,96.0,-6.1786,-4.8775,8.7661,-1.8813
339.98,15.2324,98.07,-6.1639,-4.8862,8.7672,-1.8717
340.81,15.233,99.33,-6.1373,-4.8951,8.7822,-1.8211
341.69,15.196,100.28,-6.0902,-4.9022,8.7785,-1.7654
342.59,15.161,99.82,-6.0428,-4.8997,8.7795,-1.7129
